Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,YrSold,SalePrice
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,5,1965,1965,CompShg,HdBoard,HdBoard,TA,TA,No,Rec,906,Unf,0,134,1040,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,1,384,TA,TA,Y,0,2008,129500
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,9,5,2005,2006,CompShg,WdShing,Wd Shng,Ex,TA,No,GLQ,998,Unf,0,177,1175,Y,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,2006,345000
13,20,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,6,1962,1962,CompShg,HdBoard,Plywood,TA,TA,No,ALQ,737,Unf,0,175,912,Y,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1962,Unf,1,352,TA,TA,Y,140,2008,144000
14,20,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,5,2006,2007,CompShg,VinylSd,VinylSd,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Y,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,160,2007,279500
15,20,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,6,5,1960,1960,CompShg,MetalSd,MetalSd,TA,TA,No,BLQ,733,Unf,0,520,1253,Y,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,2008,157000
16,45,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1.5Unf,7,8,1929,2001,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Unf,0,Unf,0,832,832,Y,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1991,Unf,2,576,TA,TA,Y,48,2007,132000
17,20,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,1Story,6,7,1970,1970,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,ALQ,578,Unf,0,426,1004,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,2010,149000
18,90,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Duplex,1Story,4,5,1967,1967,CompShg,MetalSd,MetalSd,NA,NA,NA,NA,0,NA,0,0,0,Y,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,CarPort,1967,Unf,2,516,TA,TA,Y,0,2006,90000
19,20,RL,66,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,RRAe,1Fam,1Story,5,5,2004,2004,CompShg,VinylSd,VinylSd,TA,TA,No,GLQ,646,Unf,0,468,1114,Y,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,Detchd,2004,Unf,2,576,TA,TA,Y,0,2008,159000
20,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,6,1958,1965,CompShg,BrkFace,Plywood,TA,TA,No,LwQ,504,Unf,0,525,1029,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,Attchd,1958,Unf,1,294,TA,TA,Y,0,2009,139000
21,60,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,8,5,2005,2006,CompShg,VinylSd,VinylSd,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,2006,325300
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Norm,1Fam,1.5Unf,7,7,1930,1950,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Unf,0,Unf,0,637,637,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,280,TA,TA,N,0,2007,139400
23,20,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,8,5,2002,2002,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,1777,1777,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,534,TA,TA,Y,171,2008,230000
24,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,1Story,5,7,1976,1976,CompShg,CemntBd,CmentBd,Gd,TA,No,GLQ,840,Unf,0,200,1040,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976,Unf,2,572,TA,TA,Y,100,2007,129900
25,20,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,8,1968,2001,CompShg,Plywood,Plywood,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270,TA,TA,Y,406,2010,154000
26,20,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,8,5,2007,2007,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,1566,1566,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,890,TA,TA,Y,0,2009,256300
27,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,5,7,1951,2000,CompShg,Wd Sdng,Wd Sdng,TA,TA,Mn,BLQ,234,Rec,486,180,900,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,2005,Unf,2,576,TA,TA,Y,222,2010,134800
28,20,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,8,5,2007,2008,CompShg,VinylSd,VinylSd,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,772,TA,TA,Y,0,2010,306000
29,20,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,1Story,5,6,1957,1997,CompShg,MetalSd,MetalSd,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,319,TA,TA,Y,288,2006,207500
30,30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Feedr,1Fam,1Story,4,6,1927,1950,CompShg,MetalSd,MetalSd,TA,TA,No,Unf,0,Unf,0,520,520,N,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,Detchd,1920,Unf,1,240,Fa,TA,Y,49,2008,68500
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,1Fam,2Story,4,4,1920,1950,CompShg,BrkFace,BrkFace,TA,TA,No,Unf,0,Unf,0,649,649,N,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,250,TA,Fa,N,0,2008,40000
32,20,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,1Story,5,6,1966,2006,CompShg,HdBoard,HdBoard,TA,TA,No,Unf,0,Unf,0,1228,1228,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1966,Unf,1,271,TA,TA,Y,0,2008,149350
33,20,RL,85,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,8,5,2007,2007,CompShg,VinylSd,VinylSd,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2007,RFn,2,484,TA,TA,Y,0,2008,179900
34,20,RL,70,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,5,1959,1959,CompShg,BrkFace,BrkFace,TA,TA,No,Rec,1018,Unf,0,380,1398,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,447,TA,TA,Y,0,2010,165500
35,120,RL,60,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,1Story,9,5,2005,2005,CompShg,MetalSd,MetalSd,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,556,TA,TA,Y,203,2007,277500
36,60,RL,108,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,2006,309000
37,20,RL,112,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,5,5,1994,1995,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,1097,1097,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1995,Unf,2,672,TA,TA,Y,392,2009,145000
38,20,RL,74,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,6,1954,1990,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Rec,1213,Unf,0,84,1297,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954,Fin,2,498,TA,TA,Y,0,2009,153000
39,20,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,7,1953,2007,CompShg,VinylSd,VinylSd,TA,TA,No,GLQ,731,Unf,0,326,1057,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,Detchd,1953,Unf,1,246,TA,TA,Y,0,2010,109000
40,90,RL,65,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Duplex,1Story,4,5,1955,1955,CompShg,AsbShng,Plywood,NA,NA,NA,NA,0,NA,0,0,0,N,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,2008,82000
41,20,RL,84,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,6,5,1965,1965,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Rec,643,Unf,0,445,1088,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965,RFn,2,440,TA,TA,Y,0,2006,160000
42,20,RL,115,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,6,1959,1959,CompShg,VinylSd,VinylSd,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Y,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959,RFn,1,308,TA,TA,P,0,2007,170000
43,85,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,SFoyer,5,7,1983,1983,CompShg,HdBoard,HdBoard,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Y,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,Attchd,1983,RFn,2,504,TA,Gd,Y,240,2007,144000
44,20,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,1Story,5,6,1975,1980,CompShg,VinylSd,VinylSd,Gd,TA,Av,LwQ,280,BLQ,491,167,938,Y,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1977,Unf,1,308,TA,TA,Y,145,2008,130250
45,20,RL,70,7945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,6,1959,1959,CompShg,BrkFace,Wd Sdng,TA,TA,No,ALQ,179,BLQ,506,465,1150,Y,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1959,RFn,1,300,TA,TA,Y,0,2006,141000
46,120,RL,61,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,1Story,9,5,2005,2005,CompShg,MetalSd,MetalSd,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,RFn,2,576,TA,TA,Y,196,2010,319900
47,50,RL,48,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,1.5Fin,7,5,2003,2003,CompShg,VinylSd,VinylSd,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003,RFn,2,670,TA,TA,Y,168,2009,239686
48,20,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,8,5,2006,2006,CompShg,VinylSd,VinylSd,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2006,RFn,3,826,TA,TA,Y,0,2007,249700
49,190,RM,33,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,2fmCon,2Story,4,5,1920,2008,CompShg,MetalSd,MetalSd,TA,TA,No,Unf,0,Unf,0,736,736,Y,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,2009,113000
50,20,RL,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,7,1966,1966,CompShg,HdBoard,HdBoard,TA,TA,No,BLQ,763,Unf,0,192,955,Y,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1966,Unf,1,386,TA,TA,Y,0,2007,127000
51,60,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,6,6,1997,1997,CompShg,VinylSd,VinylSd,Gd,TA,Av,GLQ,182,Unf,0,612,794,Y,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,Attchd,1997,Fin,2,388,TA,TA,Y,0,2007,177000
52,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,6,6,1934,1950,CompShg,Wd Sdng,Wd Sdng,TA,TA,No,Unf,0,Unf,0,816,816,Y,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985,Unf,2,528,TA,TA,Y,112,2006,114500
53,90,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,RRNn,Duplex,1Story,5,5,1963,1963,CompShg,Wd Sdng,Wd Sdng,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,N,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,NA,CarPort,1963,Unf,2,516,TA,TA,Y,106,2010,110000
54,20,RL,68,50271,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Norm,1Fam,1Story,9,5,1981,1987,WdShngl,WdShing,Wd Shng,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Y,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attchd,1981,Fin,3,894,TA,TA,Y,857,2006,385000
55,80,RL,60,7134,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,Norm,1Fam,SLvl,5,5,1955,1955,CompShg,MetalSd,MetalSd,TA,TA,No,ALQ,384,Unf,0,0,384,Y,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,Detchd,1962,Unf,2,572,TA,TA,Y,0,2007,130000
56,20,RL,100,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,6,5,1964,1964,CompShg,HdBoard,Plywood,TA,TA,No,BLQ,490,Unf,0,935,1425,Y,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1964,RFn,2,576,TA,TA,Y,0,2008,180500
57,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Twnhs,2Story,8,5,1999,2000,CompShg,MetalSd,MetalSd,Gd,TA,No,GLQ,649,Unf,0,321,970,Y,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,1999,Fin,2,480,TA,TA,Y,115,2009,172500
58,60,RL,89,11645,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,2Story,7,5,2004,2004,CompShg,VinylSd,VinylSd,Gd,TA,No,Unf,0,Unf,0,860,860,Y,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,2004,RFn,2,565,TA,TA,Y,0,2006,196500
59,60,RL,66,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,Gtl,Norm,1Fam,2Story,10,5,2006,2006,CompShg,VinylSd,VinylSd,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,Y,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006,Fin,3,641,TA,TA,Y,192,2006,438780
60,20,RL,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,7,1972,1972,CompShg,HdBoard,HdBoard,TA,TA,Av,ALQ,632,Unf,0,148,780,Y,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1973,Unf,1,352,TA,TA,Y,196,2008,124900
61,20,RL,63,13072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,RRAe,1Fam,1Story,6,5,2004,2004,CompShg,VinylSd,VinylSd,Gd,TA,No,ALQ,941,Unf,0,217,1158,Y,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,Detchd,2006,Unf,2,576,TA,TA,Y,0,2006,158000
62,75,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2.5Unf,5,7,1920,1996,CompShg,MetalSd,MetalSd,TA,Fa,No,Unf,0,Unf,0,530,530,N,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,Detchd,1935,Unf,1,288,TA,TA,N,0,2007,101000
63,120,RL,44,6442,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,1Story,8,5,2006,2006,CompShg,VinylSd,VinylSd,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,Y,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006,RFn,2,484,TA,TA,Y,120,2007,202500
64,70,RM,50,10300,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,RRAn,1Fam,2Story,7,6,1921,1950,CompShg,Stucco,Stucco,TA,TA,No,Unf,0,Unf,0,576,576,Y,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,NA,Detchd,1990,Unf,2,480,TA,TA,Y,12,2010,140000
65,60,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,7,5,1997,1998,CompShg,VinylSd,VinylSd,Gd,TA,No,GLQ,739,Unf,0,318,1057,Y,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,1998,RFn,2,645,TA,TA,Y,576,2009,219500
66,60,RL,76,9591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,Ex,TA,Av,Unf,0,Unf,0,1143,1143,Y,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,RFn,3,852,TA,TA,Y,192,2007,317000
67,20,RL,NA,19900,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,PosA,1Fam,1Story,7,5,1970,1989,CompShg,Plywood,Plywood,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,Y,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,Gd,Attchd,1970,RFn,2,576,TA,TA,Y,301,2010,180000
68,20,RL,72,10665,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,5,2003,2003,CompShg,VinylSd,VinylSd,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,Y,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2003,RFn,2,558,TA,TA,Y,144,2007,226000
69,30,RM,47,4608,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Artery,1Fam,1Story,4,6,1945,1950,CompShg,MetalSd,MetalSd,TA,TA,No,Unf,0,Unf,0,747,747,Y,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1945,Unf,1,220,TA,TA,Y,0,2010,80000
70,50,RL,81,15593,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1.5Fin,7,4,1953,1953,CompShg,BrkFace,AsbShng,TA,TA,No,BLQ,603,Unf,0,701,1304,Y,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1953,Fin,2,667,TA,TA,Y,0,2006,225000
71,20,RL,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,7,6,1973,1973,CompShg,Plywood,Plywood,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,Y,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1973,Fin,2,516,TA,TA,Y,300,2007,244000
72,20,RL,69,7599,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,4,6,1982,2006,CompShg,HdBoard,Plywood,TA,TA,No,ALQ,565,Unf,0,280,845,Y,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1987,Unf,2,360,TA,TA,Y,0,2007,129500
